lang	file	word	wstart	wend	phone	int	pstart	pend
abk	abk-002-027	ajəʃʲɛ̈	0.13	0.85	j	3	0.29	0.32
abk	abk-002-027	ajəʃʲɛ̈	0.13	0.85	ə	4	0.32	0.46
abk	abk-002-027	ajəʃʲɛ̈	0.13	0.85	ʃʲ	5	0.46	0.64
abk	abk-002-027	ajəʃʲɛ̈	0.13	0.85	ɛ̈	6	0.64	0.85
abk	abk-002-028	aʃæ̈	0.28	0.85	a	2	0.28	0.38
abk	abk-002-028	aʃæ̈	0.28	0.85	ʃ	3	0.38	0.63
abk	abk-002-028	aʃæ̈	0.28	0.85	æ̈	4	0.63	0.85
abk	abk-002-030	aʃɘpɘ	0.57	1.28	a	2	0.57	0.68
abk	abk-002-030	aʃɘpɘ	0.57	1.28	ʃ	3	0.68	0.85
abk	abk-002-030	aʃɘpɘ	0.57	1.28	ɘ	4	0.85	0.91
abk	abk-002-030	aʃɘpɘ	0.57	1.28	p	5	0.91	1.05
abk	abk-002-030	aʃɘpɘ	0.57	1.28	ɘ	6	1.05	1.28
abk	abk-002-032	ad͡ʒɘr	0	0.76	a	1	0	0.25
abk	abk-002-032	ad͡ʒɘr	0	0.76	d͡ʒ	2	0.25	0.45
abk	abk-002-032	ad͡ʒɘr	0	0.76	ɘ	3	0.45	0.53
abk	abk-002-032	ad͡ʒɘr	0	0.76	r	4	0.53	0.76
abk	abk-002-033	ad͡ʒɘʃ	0.13	0.86	a	2	0.13	0.26
abk	abk-002-033	ad͡ʒɘʃ	0.13	0.86	d͡ʒ	3	0.26	0.44
abk	abk-002-033	ad͡ʒɘʃ	0.13	0.86	ɘ	4	0.44	0.51
abk	abk-002-033	ad͡ʒɘʃ	0.13	0.86	ʃ	5	0.51	0.86
abk	abk-002-034	ad͡ʒ	0.12	0.59	a	2	0.12	0.34
abk	abk-002-034	ad͡ʒ	0.12	0.59	d͡ʒ	3	0.34	0.59
abk	abk-002-035	at͡ʃədæ̈	0	0.74	a	1	0	0.23
abk	abk-002-035	at͡ʃədæ̈	0	0.74	t͡ʃ	2	0.23	0.37
abk	abk-002-035	at͡ʃədæ̈	0	0.74	ə	3	0.37	0.45
abk	abk-002-035	at͡ʃədæ̈	0	0.74	d	4	0.45	0.55
abk	abk-002-035	at͡ʃədæ̈	0	0.74	æ̈	5	0.55	0.74
abk	abk-002-036	at͡ʃʰnɘ	0	0.79	a	1	0	0.21
abk	abk-002-036	at͡ʃʰnɘ	0	0.79	t͡ʃʰ	2	0.21	0.46
abk	abk-002-036	at͡ʃʰnɘ	0	0.79	n	3	0.46	0.58
abk	abk-002-036	at͡ʃʰnɘ	0	0.79	ɘ	4	0.58	0.79
abk	abk-002-037	at͡ʃʰɘɥrɜ	0	0.76	a	1	0	0.23
abk	abk-002-037	at͡ʃʰɘɥrɜ	0	0.76	t͡ʃʰ	2	0.23	0.41
abk	abk-002-037	at͡ʃʰɘɥrɜ	0	0.76	ɘ	3	0.41	0.53
abk	abk-002-037	at͡ʃʰɘɥrɜ	0	0.76	ɥ	4	0.53	0.56
abk	abk-002-037	at͡ʃʰɘɥrɜ	0	0.76	r	5	0.56	0.62
abk	abk-002-037	at͡ʃʰɘɥrɜ	0	0.76	ɜ	6	0.62	0.76
abk	abk-002-038	dɜt͡ʃä	0	0.76	d	1	0	0.25
abk	abk-002-038	dɜt͡ʃä	0	0.76	ɜ	2	0.25	0.32
abk	abk-002-038	dɜt͡ʃä	0	0.76	t͡ʃ	3	0.32	0.52
abk	abk-002-038	dɜt͡ʃä	0	0.76	ä	4	0.52	0.76
abk	abk-002-039	at͡ʃʰbɘɡə	0.15	0.91	a	2	0.15	0.23
abk	abk-002-039	at͡ʃʰbɘɡə	0.15	0.91	tʃ	3	0.23	0.37
abk	abk-002-039	at͡ʃʰbɘɡə	0.15	0.91	b	4	0.37	0.51
abk	abk-002-039	at͡ʃʰbɘɡə	0.15	0.91	ə	5	0.51	0.57
abk	abk-002-039	at͡ʃʰbɘɡə	0.15	0.91	ɡ	6	0.57	0.69
abk	abk-002-039	at͡ʃʰbɘɡə	0.15	0.91	ə	7	0.69	0.91
abk	abk-002-040	apt͡ʃra	0	0.7	a	1	0	0.26
abk	abk-002-040	apt͡ʃra	0	0.7	p	2	0.26	0.31
abk	abk-002-040	apt͡ʃra	0	0.7	t͡ʃ	3	0.31	0.48
abk	abk-002-040	apt͡ʃra	0	0.7	r	4	0.48	0.53
abk	abk-002-040	apt͡ʃra	0	0.7	a	5	0.53	0.7
abk	abk-002-041	at͡ʃʼɘ	0	0.65	a	1	0	0.26
abk	abk-002-041	at͡ʃʼɘ	0	0.65	t͡ʃʼ	2	0.26	0.42
abk	abk-002-041	at͡ʃʼɘ	0	0.65	ɘ	3	0.42	0.65
abk	abk-002-042	at͡ʃʼɘχrɜ	0	0.82	a	1	0	0.23
abk	abk-002-042	at͡ʃʼɘχrɜ	0	0.82	t͡ʃʼ	2	0.23	0.35
abk	abk-002-042	at͡ʃʼɘχrɜ	0	0.82	ɘ	3	0.35	0.4
abk	abk-002-042	at͡ʃʼɘχrɜ	0	0.82	χ	4	0.4	0.5
abk	abk-002-042	at͡ʃʼɘχrɜ	0	0.82	r	5	0.5	0.56
abk	abk-002-042	at͡ʃʼɘχrɜ	0	0.82	ɜ	6	0.56	0.82
abk	abk-002-043	amt͡ʃʼɘ	0.12	0.75	a	2	0.12	0.22
abk	abk-002-043	amt͡ʃʼɘ	0.12	0.75	m	3	0.22	0.43
abk	abk-002-043	amt͡ʃʼɘ	0.12	0.75	t͡ʃʼ	4	0.43	0.5
abk	abk-002-043	amt͡ʃʼɘ	0.12	0.75	ɘ	5	0.5	0.75
abk	abk-002-044	at͡ʃʼa	0.13	0.62	a	2	0.13	0.24
abk	abk-002-044	at͡ʃʼa	0.13	0.62	t͡ʃʼ	3	0.24	0.38
abk	abk-002-044	at͡ʃʼa	0.13	0.62	a	4	0.38	0.62
abk	abk-002-045	ˀaʒəħʷərə	0	1.23	ˀa	1	0	0.52
abk	abk-002-045	ˀaʒəħʷərə	0	1.23	ʒ	2	0.52	0.56
abk	abk-002-045	ˀaʒəħʷərə	0	1.23	ə	3	0.56	0.72
abk	abk-002-045	ˀaʒəħʷərə	0	1.23	ħʷ	4	0.72	0.86
abk	abk-002-045	ˀaʒəħʷərə	0	1.23	ə	5	0.86	1
abk	abk-002-045	ˀaʒəħʷərə	0	1.23	r	6	1	1.03
abk	abk-002-045	ˀaʒəħʷərə	0	1.23	ə	7	1.03	1.23
abk	abk-002-046	äʒɹə	0.13	0.81	ä	2	0.13	0.32
abk	abk-002-046	äʒɹə	0.13	0.81	ʒ	3	0.32	0.52
abk	abk-002-046	äʒɹə	0.13	0.81	ɹ	4	0.52	0.59
abk	abk-002-046	äʒɹə	0.13	0.81	ə	5	0.59	0.81
abk	abk-002-047	äʒəħœ̈ɾə	0	0.94	ä	1	0	0.3
abk	abk-002-047	äʒəħœ̈ɾə	0	0.94	ʒ	2	0.3	0.36
abk	abk-002-047	äʒəħœ̈ɾə	0	0.94	ə	3	0.36	0.48
abk	abk-002-047	äʒəħœ̈ɾə	0	0.94	ħ	4	0.48	0.62
abk	abk-002-047	äʒəħœ̈ɾə	0	0.94	œ̈	5	0.62	0.74
abk	abk-002-047	äʒəħœ̈ɾə	0	0.94	ɾ	6	0.74	0.79
abk	abk-002-047	äʒəħœ̈ɾə	0	0.94	ə	7	0.79	0.94
abk	abk-002-049	ˀaʒə	0.25	0.83	ˀa	2	0.25	0.43
abk	abk-002-049	ˀaʒə	0.25	0.83	ʒ	3	0.43	0.59
abk	abk-002-049	ˀaʒə	0.25	0.83	ə	4	0.59	0.83
abk	abk-002-050	abʒə	0	0.79	a	1	0	0.31
abk	abk-002-050	abʒə	0	0.79	b	2	0.31	0.43
abk	abk-002-050	abʒə	0	0.79	ʒ	3	0.43	0.58
abk	abk-002-050	abʒə	0	0.79	ə	4	0.58	0.79
abk	abk-002-051	aʃəɾɜ	0.13	0.68	a	2	0.13	0.21
abk	abk-002-051	aʃəɾɜ	0.13	0.68	ʃ	3	0.21	0.4
abk	abk-002-051	aʃəɾɜ	0.13	0.68	ə	4	0.4	0.46
abk	abk-002-051	aʃəɾɜ	0.13	0.68	ɾ	5	0.46	0.56
abk	abk-002-051	aʃəɾɜ	0.13	0.68	ɜ	6	0.56	0.68
abk	abk-002-052	aʃə	0.14	0.78	a	2	0.14	0.31
abk	abk-002-052	aʃə	0.14	0.78	ʃ	3	0.31	0.51
abk	abk-002-052	aʃə	0.14	0.78	ə	4	0.51	0.78
abk	abk-002-053	ad͡ʒɘʃ	0	0.8	a	1	0	0.23
abk	abk-002-053	ad͡ʒɘʃ	0	0.8	d͡ʒ	2	0.23	0.4
abk	abk-002-053	ad͡ʒɘʃ	0	0.8	ɘ	3	0.4	0.5
abk	abk-002-053	ad͡ʒɘʃ	0	0.8	ʃ	4	0.5	0.8
abk	abk-002-067	äʁdərɜ	0.26	0.78	ä	2	0.26	0.39
abk	abk-002-067	äʁdərɜ	0.26	0.78	ʁ	3	0.39	0.55
abk	abk-002-067	äʁdərɜ	0.26	0.78	d	4	0.55	0.57
abk	abk-002-067	äʁdərɜ	0.26	0.78	ə	5	0.57	0.67
abk	abk-002-067	äʁdərɜ	0.26	0.78	ɾ	6	0.67	0.71
abk	abk-002-067	äʁdərɜ	0.26	0.78	ɜ	7	0.71	0.78
abk	abk-002-070	ˀaχɤ̈	0.15	0.69	ˀa	2	0.15	0.26
abk	abk-002-070	ˀaχɤ̈	0.15	0.69	χ	3	0.26	0.49
abk	abk-002-070	ˀaχɤ̈	0.15	0.69	ɤ̈	4	0.49	0.69
abk	abk-002-071	χpʰæ̈	0.42	0.67	χ	2	0.42	0.45
abk	abk-002-071	χpʰæ̈	0.42	0.67	pʰ	3	0.45	0.5
abk	abk-002-071	χpʰæ̈	0.42	0.67	æ̈	4	0.5	0.67
abk	abk-002-072	äχrɛ̈	0.14	0.77	ä	2	0.14	0.3
abk	abk-002-072	äχrɛ̈	0.14	0.77	χ	3	0.3	0.47
abk	abk-002-072	äχrɛ̈	0.14	0.77	r	4	0.47	0.6
abk	abk-002-072	äχrɛ̈	0.14	0.77	ɛ̈	5	0.6	0.77
abk	abk-002-073	aχrdzɛ̈	0.13	0.71	a	2	0.13	0.21
abk	abk-002-073	aχrdzɛ̈	0.13	0.71	χ	3	0.21	0.37
abk	abk-002-073	aχrdzɛ̈	0.13	0.71	r	4	0.37	0.51
abk	abk-002-073	aχrdzɛ̈	0.13	0.71	d	5	0.51	0.53
abk	abk-002-073	aχrdzɛ̈	0.13	0.71	z	6	0.53	0.61
abk	abk-002-073	aχrdzɛ̈	0.13	0.71	ɛ̈	7	0.61	0.71
abk	abk-002-074	aiχæ̈	0.13	0.76	a	2	0.13	0.25
abk	abk-002-074	aiχæ̈	0.13	0.76	i	3	0.25	0.46
abk	abk-002-074	aiχæ̈	0.13	0.76	χ	4	0.46	0.55
abk	abk-002-074	aiχæ̈	0.13	0.76	æ̈	5	0.55	0.76
abk	abk-002-077	äχrɛ̈	0.13	0.71	ä	2	0.13	0.29
abk	abk-002-077	äχrɛ̈	0.13	0.71	χ	3	0.29	0.46
abk	abk-002-077	äχrɛ̈	0.13	0.71	r	4	0.46	0.54
abk	abk-002-077	äχrɛ̈	0.13	0.71	ɛ̈	5	0.54	0.71
abk	abk-002-078	aχrdzɛ̈	0.12	0.68	a	2	0.12	0.37
abk	abk-002-078	aχrdzɛ̈	0.12	0.68	χ	3	0.37	0.4
abk	abk-002-078	aχrdzɛ̈	0.12	0.68	r	4	0.4	0.45
abk	abk-002-078	aχrdzɛ̈	0.12	0.68	d	5	0.45	0.47
abk	abk-002-078	aχrdzɛ̈	0.12	0.68	z	6	0.47	0.54
abk	abk-002-078	aχrdzɛ̈	0.12	0.68	ɛ̈	7	0.54	0.68
abk	abk-002-079	aiχæ̈	0.15	0.69	a	2	0.15	0.27
abk	abk-002-079	aiχæ̈	0.15	0.69	i	3	0.27	0.35
abk	abk-002-079	aiχæ̈	0.15	0.69	χ	4	0.35	0.38
abk	abk-002-079	aiχæ̈	0.15	0.69	æ̈	5	0.38	0.69
abk	abk-002-080	amʒɤ̈	0.13	0.4	a	2	0.13	0.23
abk	abk-002-080	amʒɤ̈	0.13	0.4	m	3	0.23	0.34
abk	abk-002-080	amʒɤ̈	0.13	0.4	ʒ	4	0.34	0.37
abk	abk-002-080	amʒɤ̈	0.13	0.4	ɤ̈	5	0.37	0.4
abk	abk-002-083	aχʲtʰɛ̈	0.89	1.34	a	2	0.89	1
abk	abk-002-083	aχʲtʰɛ̈	0.89	1.34	χʲ	3	1	1.17
abk	abk-002-083	aχʲtʰɛ̈	0.89	1.34	tʰ	4	1.17	1.24
abk	abk-002-083	aχʲtʰɛ̈	0.89	1.34	ɛ̈	5	1.24	1.34
abk	abk-002-084	aχʲɾɛ̈	0.13	0.6	a	2	0.13	0.27
abk	abk-002-084	aχʲɾɛ̈	0.13	0.6	χʲ	3	0.27	0.41
abk	abk-002-084	aχʲɾɛ̈	0.13	0.6	ɾ	4	0.41	0.47
abk	abk-002-084	aχʲɾɛ̈	0.13	0.6	ɛ̈	5	0.47	0.6
abk	abk-002-085	aχʲɘts	0	0.71	a	1	0	0.27
abk	abk-002-085	aχʲɘts	0	0.71	χʲ	2	0.27	0.42
abk	abk-002-085	aχʲɘts	0	0.71	ɘ	3	0.42	0.5
abk	abk-002-085	aχʲɘts	0	0.71	t	4	0.5	0.62
abk	abk-002-085	aχʲɘts	0	0.71	s	5	0.62	0.71
abk	abk-002-090	atsʁʷərə	0.15	0.86	a	2	0.15	0.28
abk	abk-002-090	atsʁʷərə	0.15	0.86	t	3	0.28	0.34
abk	abk-002-090	atsʁʷərə	0.15	0.86	s	4	0.34	0.39
abk	abk-002-090	atsʁʷərə	0.15	0.86	ʁʷ	5	0.39	0.42
abk	abk-002-090	atsʁʷərə	0.15	0.86	ə	6	0.42	0.64
abk	abk-002-090	atsʁʷərə	0.15	0.86	r	7	0.64	0.68
abk	abk-002-090	atsʁʷərə	0.15	0.86	ə	8	0.68	0.86
abk	abk-002-097	aχɘ	0	0.64	a	1	0	0.23
abk	abk-002-097	aχɘ	0	0.64	χ	2	0.23	0.42
abk	abk-002-097	aχɘ	0	0.64	ɘ	3	0.42	0.64
abk	abk-002-098	aχaɡə	0.67	1.37	a	2	0.67	0.73
abk	abk-002-098	aχaɡə	0.67	1.37	χ	3	0.73	0.91
abk	abk-002-098	aχaɡə	0.67	1.37	a	4	0.91	1.04
abk	abk-002-098	aχaɡə	0.67	1.37	ɡ	5	1.04	1.13
abk	abk-002-098	aχaɡə	0.67	1.37	ə	6	1.13	1.37
abk	abk-002-101	ˀaχa	0	0.87	ˀa	1	0	0.31
abk	abk-002-101	ˀaχa	0	0.87	χ	2	0.31	0.54
abk	abk-002-101	ˀaχa	0	0.87	a	3	0.54	0.87
abk	abk-002-102	aχəra	0	0.81	a	1	0	0.31
abk	abk-002-102	aχəra	0	0.81	χ	2	0.31	0.48
abk	abk-002-102	aχəra	0	0.81	ə	3	0.48	0.58
abk	abk-002-102	aχəra	0	0.81	ɾ	4	0.58	0.62
abk	abk-002-102	aχəra	0	0.81	a	5	0.62	0.81
abk	abk-002-103	aχɘ	0	0.61	a	1	0	0.22
abk	abk-002-103	aχɘ	0	0.61	χ	2	0.22	0.27
abk	abk-002-103	aχɘ	0	0.61	ɘ	3	0.27	0.61
abk	abk-002-105	adχa	0	0.79	a	1	0	0.4
abk	abk-002-105	adχa	0	0.79	d	2	0.4	0.42
abk	abk-002-105	adχa	0	0.79	χ	3	0.42	0.47
abk	abk-002-105	adχa	0	0.79	a	4	0.47	0.79
abk	abk-002-106	anχa	0	0.73	a	1	0	0.31
abk	abk-002-106	anχa	0	0.73	n	2	0.31	0.41
abk	abk-002-106	anχa	0	0.73	χ	3	0.41	0.55
abk	abk-002-106	anχa	0	0.73	a	4	0.55	0.73
ace	ace-000-000	padjan	0.11	0.93	p	2	0.11	0.16
ace	ace-000-000	padjan	0.11	0.93	a	3	0.16	0.34
ace	ace-000-000	padjan	0.11	0.93	d	4	0.34	0.38
ace	ace-000-000	padjan	0.11	0.93	j	5	0.38	0.48
ace	ace-000-000	padjan	0.11	0.93	a	6	0.48	0.66
ace	ace-000-000	padjan	0.11	0.93	n	7	0.66	0.93
ace	ace-000-001	padjoh	0.13	0.7	p	2	0.13	0.17
ace	ace-000-001	padjoh	0.13	0.7	a	3	0.17	0.34
ace	ace-000-001	padjoh	0.13	0.7	d	4	0.34	0.38
ace	ace-000-001	padjoh	0.13	0.7	j	5	0.38	0.5
ace	ace-000-001	padjoh	0.13	0.7	o	6	0.5	0.65
ace	ace-000-001	padjoh	0.13	0.7	h	7	0.65	0.7
ace	ace-000-002	sampoh	0	0.7	s	1	0	0.16
ace	ace-000-002	sampoh	0	0.7	a	2	0.16	0.27
ace	ace-000-002	sampoh	0	0.7	m	3	0.27	0.4
ace	ace-000-002	sampoh	0	0.7	p	4	0.4	0.5
ace	ace-000-002	sampoh	0	0.7	o	5	0.5	0.67
ace	ace-000-002	sampoh	0	0.7	h	6	0.67	0.7
ace	ace-000-003	leuhop	0.13	0.72	l	2	0.13	0.28
ace	ace-000-003	leuhop	0.13	0.72	e	3	0.28	0.42
ace	ace-000-003	leuhop	0.13	0.72	u	4	0.42	0.45
ace	ace-000-003	leuhop	0.13	0.72	h	5	0.45	0.52
ace	ace-000-003	leuhop	0.13	0.72	o	6	0.52	0.65
ace	ace-000-003	leuhop	0.13	0.72	p	7	0.65	0.72
ace	ace-000-004	batei	0	0.93	b	1	0	0.27
ace	ace-000-004	batei	0	0.93	a	2	0.27	0.44
ace	ace-000-004	batei	0	0.93	t	3	0.44	0.57
ace	ace-000-004	batei	0	0.93	e	4	0.57	0.79
ace	ace-000-004	batei	0	0.93	i	5	0.79	0.93
ace	ace-000-007	takot	0.14	0.73	t	2	0.14	0.2
ace	ace-000-007	takot	0.14	0.73	a	3	0.2	0.37
ace	ace-000-007	takot	0.14	0.73	k	4	0.37	0.52
ace	ace-000-007	takot	0.14	0.73	o	5	0.52	0.67
ace	ace-000-007	takot	0.14	0.73	t	6	0.67	0.73
ace	ace-000-008	tamonq̠	0.13	0.76	t	2	0.13	0.19
ace	ace-000-008	tamonq̠	0.13	0.76	a	3	0.19	0.39
ace	ace-000-008	tamonq̠	0.13	0.76	m	4	0.39	0.51
ace	ace-000-008	tamonq̠	0.13	0.76	o	5	0.51	0.62
ace	ace-000-008	tamonq̠	0.13	0.76	n	6	0.62	0.73
ace	ace-000-008	tamonq̠	0.13	0.76	q̠	7	0.73	0.76
ace	ace-000-009	buta	0.12	0.87	b	2	0.12	0.28
ace	ace-000-009	buta	0.12	0.87	u	3	0.28	0.48
ace	ace-000-009	buta	0.12	0.87	t	4	0.48	0.54
ace	ace-000-009	buta	0.12	0.87	a	5	0.54	0.87
ace	ace-000-010	batat	0.13	0.75	b	2	0.13	0.29
ace	ace-000-010	batat	0.13	0.75	a	3	0.29	0.44
ace	ace-000-010	batat	0.13	0.75	t	4	0.44	0.56
ace	ace-000-010	batat	0.13	0.75	a	5	0.56	0.72
ace	ace-000-010	batat	0.13	0.75	t	6	0.72	0.75
ace	ace-000-011	dada	0	0.99	d	1	0	0.28
ace	ace-000-011	dada	0	0.99	a	2	0.28	0.49
ace	ace-000-011	dada	0	0.99	d	3	0.49	0.55
ace	ace-000-011	dada	0	0.99	a	4	0.55	0.99
ace	ace-000-012	daja	0	0.96	d	1	0	0.3
ace	ace-000-012	daja	0	0.96	a	2	0.3	0.49
ace	ace-000-012	daja	0	0.96	j	3	0.49	0.62
ace	ace-000-012	daja	0	0.96	a	4	0.62	0.96
ace	ace-000-013	aleuhat	0	0.77	a	1	0	0.3
ace	ace-000-013	aleuhat	0	0.77	l	2	0.3	0.38
ace	ace-000-013	aleuhat	0	0.77	e	3	0.38	0.43
ace	ace-000-013	aleuhat	0	0.77	u	4	0.43	0.46
ace	ace-000-013	aleuhat	0	0.77	h	5	0.46	0.54
ace	ace-000-013	aleuhat	0	0.77	a	6	0.54	0.7
ace	ace-000-013	aleuhat	0	0.77	t	7	0.7	0.77
ace	ace-000-014	kama	0.11	0.78	k	2	0.11	0.19
ace	ace-000-014	kama	0.11	0.78	a	3	0.19	0.37
ace	ace-000-014	kama	0.11	0.78	m	4	0.37	0.46
ace	ace-000-014	kama	0.11	0.78	a	5	0.46	0.78
ace	ace-000-025	baq̠ah	0	0.79	b	1	0	0.26
ace	ace-000-025	baq̠ah	0	0.79	a	2	0.26	0.46
ace	ace-000-025	baq̠ah	0	0.79	q̠	3	0.46	0.54
ace	ace-000-025	baq̠ah	0	0.79	a	4	0.54	0.74
ace	ace-000-025	baq̠ah	0	0.79	h	5	0.74	0.79
ace	ace-000-026	saboh	0	0.7	s	1	0	0.15
ace	ace-000-026	saboh	0	0.7	a	2	0.15	0.35
ace	ace-000-026	saboh	0	0.7	b	3	0.35	0.45
ace	ace-000-026	saboh	0	0.7	o	4	0.45	0.65
ace	ace-000-026	saboh	0	0.7	h	5	0.65	0.7
ace	ace-000-027	basah	0	0.76	b	1	0	0.24
ace	ace-000-027	basah	0	0.76	a	2	0.24	0.41
ace	ace-000-027	basah	0	0.76	s	3	0.41	0.55
ace	ace-000-027	basah	0	0.76	a	4	0.55	0.72
ace	ace-000-027	basah	0	0.76	h	5	0.72	0.76
ace	ace-000-028	peudaih	0.1	0.67	p	2	0.1	0.15
ace	ace-000-028	peudaih	0.1	0.67	e	3	0.15	0.18
ace	ace-000-028	peudaih	0.1	0.67	u	4	0.18	0.39
ace	ace-000-028	peudaih	0.1	0.67	d	5	0.39	0.41
ace	ace-000-028	peudaih	0.1	0.67	a	6	0.41	0.61
ace	ace-000-028	peudaih	0.1	0.67	i	7	0.61	0.64
ace	ace-000-028	peudaih	0.1	0.67	h	8	0.64	0.67
ace	ace-000-029	lhok	0.13	0.59	l	2	0.13	0.28
ace	ace-000-029	lhok	0.13	0.59	h	3	0.28	0.31
ace	ace-000-029	lhok	0.13	0.59	o	4	0.31	0.55
ace	ace-000-029	lhok	0.13	0.59	k	5	0.55	0.59
ace	ace-000-030	malam	0	0.9	m	1	0	0.27
ace	ace-000-030	malam	0	0.9	a	2	0.27	0.46
ace	ace-000-030	malam	0	0.9	l	3	0.46	0.53
ace	ace-000-030	malam	0	0.9	a	4	0.53	0.68
ace	ace-000-030	malam	0	0.9	m	5	0.68	0.9
ace	ace-000-031	pasai	0.12	0.96	p	2	0.12	0.17
ace	ace-000-031	pasai	0.12	0.96	a	3	0.17	0.32
ace	ace-000-031	pasai	0.12	0.96	s	4	0.32	0.44
ace	ace-000-031	pasai	0.12	0.96	a	5	0.44	0.68
ace	ace-000-031	pasai	0.12	0.96	i	6	0.68	0.96
ace	ace-000-032	ma	0	0.74	m	1	0	0.27
ace	ace-000-032	ma	0	0.74	a	2	0.27	0.74
ace	ace-000-033	leumak	0.12	0.75	l	2	0.12	0.27
ace	ace-000-033	leumak	0.12	0.75	e	3	0.27	0.39
ace	ace-000-033	leumak	0.12	0.75	u	4	0.39	0.49
ace	ace-000-033	leumak	0.12	0.75	m	5	0.49	0.53
ace	ace-000-033	leumak	0.12	0.75	a	6	0.53	0.69
