Language,Ethnologue Code,iso_6393,glottocode,name,level,macroarea,latitude,longitude,id,family_id,parent_id,bookkeeping,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
Haiǁom,HGM,hgm,haio1238,Hai//om-Akhoe,language,Africa,-19.7637,17.0299,haio1238,khoe1240,nort3245,FALSE,hgm,NA,NA,0,0,3,BW NA ZA
Hausa,HAU,hau,haus1257,Hausa,language,Africa,11.1513,8.7804,haus1257,afro1255,west2718,FALSE,hau,NA,NA,0,0,19,BF BJ CM NE NG TD
Hawaiian,HAW,haw,hawa1245,Hawaiian,language,Papunesia,19.6297,-155.43,hawa1245,aust1307,east2896,FALSE,haw,NA,NA,0,0,0,US
Hebrew,HEB,heb,hebr1245,Modern Hebrew,language,Eurasia,31.1056,35.0179,hebr1245,afro1255,hebr1246,FALSE,heb,NA,NA,0,0,2,IL JO LB PS SY
Hiligaynon,HIL,hil,hili1240,Hiligaynon,language,Papunesia,10.4018,122.974,hili1240,aust1307,capi1240,FALSE,hil,NA,NA,0,0,4,PH
Hindi,HIN,hin,hind1269,Hindi,language,Eurasia,25,77,hind1269,indo1319,hind1270,FALSE,hin,NA,NA,0,0,4,BD BT IN NP
Hmong Daw,MWW,mww,hmon1333,Hmong Daw,language,Eurasia,21.5461,103.164,hmon1333,hmon1336,firs1234,FALSE,mww,NA,NA,0,0,4,CN LA TH VN
Hmong Njua,BLU,blu,hmon1338,Hmong Njua (Retired),language,NA,NA,NA,hmon1338,book1242,book1242,TRUE,blu,NA,NA,0,0,0,NA
Hungarian,HUN,hun,hung1274,Hungarian,language,Eurasia,46.9068585714,19.6555271429,hung1274,ural1272,hung1287,FALSE,hun,NA,NA,0,0,10,AT HR HU RO RS SI SK UA
ǂHua,HUC,huc,hoaa1235,Amkoe,language,Africa,-23.93447,24.69828,hoaa1235,kxaa1236,kxaa1236,FALSE,huc,NA,NA,0,0,3,BW
Ibibio,IBB,ibb,ibib1240,Ibibio,language,Africa,5.15279,7.86688,ibib1240,atla1278,efik1244,FALSE,ibb,NA,NA,0,0,4,NG
Icelandic,ISL,isl,icel1247,Icelandic,language,Eurasia,63.4837,-19.0212,icel1247,indo1319,icel1246,FALSE,isl,NA,NA,0,0,0,IS
Idoma,IDU,idu,idom1241,Idoma,language,Africa,7.19139,7.71261,idom1241,atla1278,nucl1732,FALSE,idu,NA,NA,0,0,4,NG
Igbo,IBO,ibo,nucl1417,Igbo,language,Africa,4.62705,7.23441,nucl1417,atla1278,igbo1259,FALSE,ibo,NA,NA,0,0,17,NG
Ikwere,IKW,ikw,ikwe1242,Ikwere,language,Africa,5.04333,6.86651,ikwe1242,atla1278,igbo1259,FALSE,ikw,NA,NA,0,0,18,NG
